CVG|Cincinnati/Northern Kentucky International Airport
DAY|Dayton International Airport
CMH|John Glenn International Airport
LCK|Rickenbacker International Airport
ATL|Hartsfield-Jackson Atlanta International Airport
DFW|Dallas/Fort Worth International Airport
DEN|Denver International Airport
ORD|OHare International Airport
LAX|Los Angeles International Airport
CLT|Charlotte Douglas International Airport
MCO|Orlando International Airport
LAS|Harry Reid International Airport
PHX|Phoenix Sky Harbor International Airport
MIA|Miami International Airport
SEA|Seattle-Tacoma International Airport
IAH|George Bush Intercontinental Airport
JFK|John F. Kennedy International Airport
EWR|Newark Liberty International Airport
FLL|Fort Lauderdale-Hollywood International Airport
MSP|Minneapolis-Saint Paul International Airport
SFO|San Francisco International Airport
DTW|Detroit Metropolitan Airport
BOS|Logan International Airport
SLC|Salt Lake City International Airport
PHL|Philadelphia International Airport
BWI|Baltimore/Washington International Airport
TPA|Tampa International Airport
SAN|San Diego International Airport
LGA|LaGuardia Airport
MDW|Midway International Airport
BNA|Nashville International Airport
IAD|Washington Dulles International Airport
DCA|Ronald Reagan Washington International Airport
AUS|Austin-Bergstrom International Airport
